"","X","location","number","ABC","DateTime","Air_Temp","Tire","Tire_b","Soil","RH","Tire_RH","Solar","pcpn","dwpt","wdir","wspd","wspd_max","wstdv","Diff","Diff.S","Diff.ST","Diff.RH","Diff.b","condition","pull.date","sheet"
"6115",4543,"Arl","7","S",2021-12-08 14:00:00,-4.4,10.271,NA,NA,59.4,36.61,1083.2,0,NA,10.3,2,4.4,36.6,14.671,NA,NA,-22.79,NA,"pull2",2021-12-21,"C.1"
"6116",4547,"Arl","7","S",2021-12-08 15:00:00,-3.9,11.005,NA,NA,55.1,37.163,709.3,0,NA,318.9,1,3.2,51.8,14.905,NA,NA,-17.937,NA,"pull2",2021-12-21,"C.1"
"6117",4549,"Arl","7","S",2021-12-08 16:00:00,-4.1,4.037,NA,NA,55.9,42.608,288.2,0,NA,246.4,0.8,2.8,22.8,8.137,NA,NA,-13.292,NA,"pull2",2021-12-21,"C.1"
"6118",4553,"Arl","7","S",2021-12-08 17:00:00,-6.6,-2.189,NA,NA,69.6,69.652,9.7,0,NA,62.3,0.1,1.4,9.6,4.411,NA,NA,0.0520000000000067,NA,"pull2",2021-12-21,"C.1"
"6119",4555,"Arl","7","S",2021-12-08 18:00:00,-5.8,-6.898,NA,NA,69.9,88.355,0.3,0,NA,91.9,1.2,2.5,19.1,-1.098,NA,NA,18.455,NA,"pull2",2021-12-21,"C.1"
"6120",4560,"Arl","7","S",2021-12-08 19:00:00,-5.7,-5.449,NA,NA,68.4,85.017,0.4,0,NA,101.1,2.7,4.7,12.9,0.251,NA,NA,16.617,NA,"pull2",2021-12-21,"C.1"
"6121",4563,"Arl","7","S",2021-12-08 20:00:00,-6,-4.926,NA,NA,71.8,78.854,0.5,0,NA,121.1,2.7,4.8,13.6,1.074,NA,NA,7.054,NA,"pull2",2021-12-21,"C.1"
"6122",4564,"Arl","7","S",2021-12-08 21:00:00,-6,-5.141,NA,NA,72.8,79.599,0.5,0,NA,142.2,1.8,3.5,11.5,0.859,NA,NA,6.79900000000001,NA,"pull2",2021-12-21,"C.1"
"6123",4567,"Arl","7","S",2021-12-08 22:00:00,-5.9,-5.141,NA,NA,74.1,80.949,0.3,0,NA,134.5,2,4.1,12.2,0.759,NA,NA,6.849,NA,"pull2",2021-12-21,"C.1"
"6124",4572,"Arl","7","S",2021-12-08 23:00:00,-5.8,-5.018,NA,NA,73.4,80.087,0,0,NA,145.4,2.4,4,10.2,0.782,NA,NA,6.687,NA,"pull2",2021-12-21,"C.1"
"6125",4573,"Arl","7","S",2021-12-09 00:00:00,-6.4,-5.326,NA,NA,77.2,80.118,0,0,NA,144.1,1.9,3.4,9.8,1.074,NA,NA,2.91799999999999,NA,"pull2",2021-12-21,"C.1"
"6126",4577,"Arl","7","S",2021-12-09 01:00:00,-6.9,-6.674,NA,NA,82.2,86.83,0.1,0,NA,130.7,2.2,4.2,10,0.226,NA,NA,4.63,NA,"pull2",2021-12-21,"C.1"
"6127",4580,"Arl","7","S",2021-12-09 02:00:00,-6.3,-6.706,NA,NA,81.4,89.492,0,0,NA,135.2,2.8,5.2,12,-0.406000000000001,NA,NA,8.092,NA,"pull2",2021-12-21,"C.1"
"6128",4582,"Arl","7","S",2021-12-09 03:00:00,-5.7,-5.823,NA,NA,79.8,88.316,0,0,NA,138.4,2.6,4.4,12.1,-0.123,NA,NA,8.51600000000001,NA,"pull2",2021-12-21,"C.1"
"6129",4586,"Arl","7","S",2021-12-09 04:00:00,-5.1,-5.079,NA,NA,78,86.692,0,0,NA,142.5,2.8,5,10.6,0.0209999999999999,NA,NA,8.69199999999999,NA,"pull2",2021-12-21,"C.1"
"6130",4590,"Arl","7","S",2021-12-09 05:00:00,-4.8,-4.682,NA,NA,78.5,86.1,0.1,0,NA,136.2,3.1,6,12.2,0.117999999999999,NA,NA,7.59999999999999,NA,"pull2",2021-12-21,"C.1"
"6131",4593,"Arl","7","S",2021-12-09 06:00:00,-4.1,-4.137,NA,NA,76.4,85.34,0.4,0,NA,134.9,4.1,7.2,12.8,-0.0369999999999999,NA,NA,8.94,NA,"pull2",2021-12-21,"C.1"
"6132",4594,"Arl","7","S",2021-12-09 07:00:00,-3.7,-3.419,NA,NA,75.4,83.205,0.5,0,NA,135,3.5,5.8,12.7,0.281,NA,NA,7.80499999999999,NA,"pull2",2021-12-21,"C.1"
"6133",4599,"Arl","7","S",2021-12-09 08:00:00,-3.1,-2.947,NA,NA,73.4,82.277,9.2,0,NA,132.7,4,6.8,12.9,0.153,NA,NA,8.877,NA,"pull2",2021-12-21,"C.1"
"6134",4602,"Arl","7","S",2021-12-09 09:00:00,-2.2,-2.392,NA,NA,70.6,81,65.2,0,NA,133.4,4.2,7.2,12.7,-0.192,NA,NA,10.4,NA,"pull2",2021-12-21,"C.1"
"6135",4605,"Arl","7","S",2021-12-09 10:00:00,-1.3,-1.185,NA,NA,68.2,76.906,90.8,0,NA,136.4,3.9,6.7,12.1,0.115,NA,NA,8.706,NA,"pull2",2021-12-21,"C.1"
"6136",4606,"Arl","7","S",2021-12-09 11:00:00,-0.8,-0.227,NA,NA,72.8,76.322,158.4,0,NA,144.5,3.6,6.7,12.2,0.573,NA,NA,3.52200000000001,NA,"pull2",2021-12-21,"C.1"
"6137",4609,"Arl","7","S",2021-12-09 12:00:00,-0.2,0.079,NA,NA,74.3,85.646,109.6,0,NA,147.9,3.6,7.1,11.3,0.279,NA,NA,11.346,NA,"pull2",2021-12-21,"C.1"
"6138",4613,"Arl","7","S",2021-12-09 13:00:00,0.5,0.163,NA,NA,72.8,86.501,171.7,0,NA,145.4,2.7,5.6,11.4,-0.337,NA,NA,13.701,NA,"pull2",2021-12-21,"C.1"
"6139",4617,"Arl","7","S",2021-12-09 14:00:00,1.2,1.48,NA,NA,71.3,80.698,187,0,NA,154.4,1.7,3,11.9,0.28,NA,NA,9.398,NA,"pull2",2021-12-21,"C.1"
"6140",4619,"Arl","7","S",2021-12-09 15:00:00,1.9,2.61,NA,NA,69.7,78.716,172.8,0,NA,176.8,2.1,3.4,9.4,0.71,NA,NA,9.01599999999999,NA,"pull2",2021-12-21,"C.1"
"6141",4622,"Arl","7","S",2021-12-09 16:00:00,1.9,3.036,NA,NA,72.8,76.758,66.6,0,NA,200.6,1,2.6,7.6,1.136,NA,NA,3.958,NA,"pull2",2021-12-21,"C.1"
"6142",4626,"Arl","7","S",2021-12-09 17:00:00,0.9,2.289,NA,NA,79.3,81.563,8.1,0,NA,199,1.3,2.1,18.3,1.389,NA,NA,2.26300000000001,NA,"pull2",2021-12-21,"C.1"
"6143",4627,"Arl","7","S",2021-12-09 18:00:00,-1.2,-0.902,NA,NA,82.9,83.577,0.8,0,NA,229.4,1.6,2.1,6.2,0.298,NA,NA,0.676999999999992,NA,"pull2",2021-12-21,"C.1"
"6144",4630,"Arl","7","S",2021-12-09 19:00:00,-1.8,-4.046,NA,NA,85.1,92.821,0.4,0,NA,237.8,1.5,3.5,27.1,-2.246,NA,NA,7.721,NA,"pull2",2021-12-21,"C.1"
"6145",4634,"Arl","7","S",2021-12-09 20:00:00,-1.9,-4.257,NA,NA,84.2,95.827,0.4,0,NA,271.5,1.1,2.5,7.9,-2.357,NA,NA,11.627,NA,"pull2",2021-12-21,"C.1"
"6146",4638,"Arl","7","S",2021-12-09 21:00:00,-3.9,-4.987,NA,NA,90.2,95.293,0.4,0,NA,189.2,0.3,1.9,5.5,-1.087,NA,NA,5.093,NA,"pull2",2021-12-21,"C.1"
"6147",4639,"Arl","7","S",2021-12-09 22:00:00,-4.5,-6.388,NA,NA,93.6,94.572,0.3,0,NA,191.9,0,1.1,2,-1.888,NA,NA,0.972000000000008,NA,"pull2",2021-12-21,"C.1"
"6148",4642,"Arl","7","S",2021-12-09 23:00:00,-4.7,-6.388,NA,NA,92.8,94.196,0.2,0,NA,239.1,1.2,2.5,35.2,-1.688,NA,NA,1.396,NA,"pull2",2021-12-21,"C.1"
"6149",4647,"Arl","7","S",2021-12-10 00:00:00,-3.9,-7.219,NA,NA,91.2,94.714,0.1,0,NA,281.8,2.2,3.8,18.9,-3.319,NA,NA,3.514,NA,"pull2",2021-12-21,"C.1"
"6150",4650,"Arl","7","S",2021-12-10 01:00:00,-3.9,-4.957,NA,NA,92.1,97.499,0.2,0,NA,286.9,1.5,3.2,20,-1.057,NA,NA,5.399,NA,"pull2",2021-12-21,"C.1"
"6151",4653,"Arl","7","S",2021-12-10 02:00:00,-2.7,-4.895,NA,NA,91.1,98.304,0.2,0.25,NA,300.6,2.6,4.2,14.5,-2.195,NA,NA,7.20400000000001,NA,"pull2",2021-12-21,"C.1"
"6152",4655,"Arl","7","S",2021-12-10 03:00:00,-2.3,-3.956,NA,NA,90.1,97.856,0.1,0,NA,334.9,2.7,4.5,21.5,-1.656,NA,NA,7.756,NA,"pull2",2021-12-21,"C.1"
"6153",4658,"Arl","7","S",2021-12-10 04:00:00,-1.6,-2.566,NA,NA,86.7,99.027,0.1,0,NA,337.7,2.8,4.7,18.6,-0.966,NA,NA,12.327,NA,"pull2",2021-12-21,"C.1"
"6154",4661,"Arl","7","S",2021-12-10 05:00:00,-1.6,-1.986,NA,NA,86.2,98.634,0.1,0,NA,354.1,3.3,6.8,23.9,-0.386,NA,NA,12.434,NA,"pull2",2021-12-21,"C.1"
"6155",4663,"Arl","7","S",2021-12-10 06:00:00,-1.9,-1.958,NA,NA,87.1,98.033,0.2,0,NA,10.6,2.7,6.5,16.4,-0.0580000000000001,NA,NA,10.933,NA,"pull2",2021-12-21,"C.1"
"6156",4666,"Arl","7","S",2021-12-10 07:00:00,-2,-2.247,NA,NA,87.1,97.668,0.6,0,NA,13.9,2.9,4.7,9.8,-0.247,NA,NA,10.568,NA,"pull2",2021-12-21,"C.1"
"6157",4669,"Arl","7","S",2021-12-10 08:00:00,-2.4,-2.392,NA,NA,89.3,97.202,24.8,0,NA,29.6,2.2,4.2,12.3,0.00800000000000001,NA,NA,7.902,NA,"pull2",2021-12-21,"C.1"
"6158",4674,"Arl","7","S",2021-12-10 09:00:00,-2,-2.247,NA,NA,88.1,97.762,129.1,0,NA,87,1.8,2.9,19.6,-0.247,NA,NA,9.66200000000001,NA,"pull2",2021-12-21,"C.1"
"6159",4675,"Arl","7","S",2021-12-10 10:00:00,-1.2,-1.071,NA,NA,84.4,96.056,308.6,0,NA,100.9,2.1,4.2,13.9,0.129,NA,NA,11.656,NA,"pull2",2021-12-21,"C.1"
"6160",4678,"Arl","7","S",2021-12-10 11:00:00,-0.7,0.962,NA,NA,82.6,90.213,345.2,0,NA,107.6,3,5,15.7,1.662,NA,NA,7.613,NA,"pull2",2021-12-21,"C.1"
"6161",4682,"Arl","7","S",2021-12-10 12:00:00,0.1,1.561,NA,NA,80,85.293,438.4,0,NA,97.1,4,6.7,16.1,1.461,NA,NA,5.29300000000001,NA,"pull2",2021-12-21,"C.1"
"6162",4686,"Arl","7","S",2021-12-10 13:00:00,0.2,2.637,NA,NA,81.7,81.014,243,0,NA,88,4.1,6.5,11.2,2.437,NA,NA,-0.686000000000007,NA,"pull2",2021-12-21,"C.1"
"6163",4688,"Arl","7","S",2021-12-10 14:00:00,0.4,1.697,NA,NA,83.1,84.197,224.2,0,NA,72,4.5,7.2,14.5,1.297,NA,NA,1.09700000000001,NA,"pull2",2021-12-21,"C.1"
"6164",4691,"Arl","7","S",2021-12-10 15:00:00,1,2.155,NA,NA,83.6,85.103,187.7,0,NA,66.8,5.1,8.2,10.5,1.155,NA,NA,1.503,NA,"pull2",2021-12-21,"C.1"
"6165",4694,"Arl","7","S",2021-12-10 16:00:00,0.7,1.913,NA,NA,90.6,86.883,19.7,0.51,NA,73.7,5.4,8.2,12,1.213,NA,NA,-3.717,NA,"pull2",2021-12-21,"C.1"
"6166",4696,"Arl","7","S",2021-12-10 17:00:00,0.6,0.687,NA,NA,96.7,97.146,2.2,2.79,NA,75.5,6.7,10.1,11.4,0.0870000000000001,NA,NA,0.445999999999998,NA,"pull2",2021-12-21,"C.1"
"6167",4699,"Arl","7","S",2021-12-10 18:00:00,0.3,0.632,NA,NA,97.8,98.751,0,2.79,NA,76.4,5.4,8.6,12,0.332,NA,NA,0.951000000000008,NA,"pull2",2021-12-21,"C.1"
"6168",4702,"Arl","7","S",2021-12-10 19:00:00,0.2,0.467,NA,NA,98.8,99.484,0,2.54,NA,79.1,4.8,8.2,11.2,0.267,NA,NA,0.683999999999997,NA,"pull2",2021-12-21,"C.1"
"6169",4707,"Arl","7","S",2021-12-10 20:00:00,0.4,0.495,NA,NA,99.4,100,0,1.02,NA,64.5,4.7,8,16.5,0.095,NA,NA,0.599999999999994,NA,"pull2",2021-12-21,"C.1"
"6170",4708,"Arl","7","S",2021-12-10 21:00:00,0.6,0.66,NA,NA,99.4,100,0,2.79,NA,52.6,3.7,6.8,13.1,0.0600000000000001,NA,NA,0.599999999999994,NA,"pull2",2021-12-21,"C.1"
"6171",4711,"Arl","7","S",2021-12-10 22:00:00,0.7,0.825,NA,NA,99.6,100,0,2.79,NA,50.7,4.4,7.5,18.2,0.125,NA,NA,0.400000000000006,NA,"pull2",2021-12-21,"C.1"
"6172",4716,"Arl","7","S",2021-12-10 23:00:00,0.6,0.962,NA,NA,99.6,100,0.1,3.81,NA,24.5,3.4,5.6,22.1,0.362,NA,NA,0.400000000000006,NA,"pull2",2021-12-21,"C.1"
"6173",4719,"Arl","7","S",2021-12-11 00:00:00,0.4,0.88,NA,NA,99.8,100,0.1,0.25,NA,22.2,3.7,6.3,13.9,0.48,NA,NA,0.200000000000003,NA,"pull2",2021-12-21,"C.1"
"6174",4721,"Arl","7","S",2021-12-11 01:00:00,0.1,0.55,NA,NA,99.8,100,0.2,0,NA,22.2,4,6.2,10.5,0.45,NA,NA,0.200000000000003,NA,"pull2",2021-12-21,"C.1"
"6175",4725,"Arl","7","S",2021-12-11 02:00:00,0,0.384,NA,NA,99.8,100,0.2,0,NA,18.2,3.8,5.9,11.9,0.384,NA,NA,0.200000000000003,NA,"pull2",2021-12-21,"C.1"
"6176",4728,"Arl","7","S",2021-12-11 03:00:00,0,0.329,NA,NA,99.9,100,0.1,0,NA,24.4,4,6.3,10.2,0.329,NA,NA,0.0999999999999943,NA,"pull2",2021-12-21,"C.1"
"6177",4729,"Arl","7","S",2021-12-11 04:00:00,-0.2,0.301,NA,NA,99.9,100,0.1,3.05,NA,13.7,4.1,7.5,34.2,0.501,NA,NA,0.0999999999999943,NA,"pull2",2021-12-21,"C.1"
"6178",4732,"Arl","7","S",2021-12-11 05:00:00,-0.4,0.107,NA,NA,99.9,100,0,0.51,NA,321,4.4,7.4,27.3,0.507,NA,NA,0.0999999999999943,NA,"pull2",2021-12-21,"C.1"
"6179",4735,"Arl","7","S",2021-12-11 06:00:00,-0.6,-0.004,NA,NA,99.1,100,0,0.25,NA,300.8,7.4,12.7,21.9,0.596,NA,NA,0.900000000000006,NA,"pull2",2021-12-21,"C.1"
"6180",4738,"Arl","7","S",2021-12-11 07:00:00,-1.4,-0.395,NA,NA,94.3,100,0.3,0,NA,311.8,9.3,14,21,1.005,NA,NA,5.7,NA,"pull2",2021-12-21,"C.1"
"6181",4743,"Arl","7","S",2021-12-11 08:00:00,-1.7,-1.071,NA,NA,93.1,100,20.3,0,NA,298.3,9.7,13.8,25.9,0.629,NA,NA,6.90000000000001,NA,"pull2",2021-12-21,"C.1"
"6182",4744,"Arl","7","S",2021-12-11 09:00:00,-1.4,-1.1,NA,NA,90.3,100,78.8,0,NA,295.7,9.7,14.6,22.6,0.3,NA,NA,9.7,NA,"pull2",2021-12-21,"C.1"
"6183",4748,"Arl","7","S",2021-12-11 10:00:00,-1.3,-0.817,NA,NA,89,99.536,281.9,0,NA,294.2,8.5,14.2,18,0.483,NA,NA,10.536,NA,"pull2",2021-12-21,"C.1"
"6184",4750,"Arl","7","S",2021-12-11 11:00:00,-0.7,-0.311,NA,NA,84.1,97.58,832.1,0,NA,286.3,7.4,11.8,17.3,0.389,NA,NA,13.48,NA,"pull2",2021-12-21,"C.1"
"6185",4753,"Arl","7","S",2021-12-11 12:00:00,0.1,2.128,NA,NA,77.3,89.714,1340.3,0.76,NA,276.3,7.5,11.4,17,2.028,NA,NA,12.414,NA,"pull2",2021-12-21,"C.1"
"6186",4756,"Arl","7","S",2021-12-11 13:00:00,0.6,3.88,NA,NA,71.4,78.25,1276.3,0,NA,270.4,7.9,12.7,16.8,3.28,NA,NA,6.84999999999999,NA,"pull2",2021-12-21,"C.1"
"6187",4761,"Arl","7","S",2021-12-11 14:00:00,1.1,4.74,NA,NA,66,71.293,1098,0,NA,277.2,6.9,10.4,12.7,3.64,NA,NA,5.29300000000001,NA,"pull2",2021-12-21,"C.1"
"6188",4764,"Arl","7","S",2021-12-11 15:00:00,1.2,5.796,NA,NA,64.5,66.666,766,0,NA,268.2,5.8,8.9,10.3,4.596,NA,NA,2.166,NA,"pull2",2021-12-21,"C.1"
"6189",4767,"Arl","7","S",2021-12-11 16:00:00,0.8,3.248,NA,NA,63.4,72.531,333.9,0,NA,259.3,5,8.4,10.7,2.448,NA,NA,9.13100000000001,NA,"pull2",2021-12-21,"C.1"
"6190",4770,"Arl","7","S",2021-12-11 17:00:00,-0.2,0.079,NA,NA,67.4,80.951,20.4,0,NA,251.4,4.6,7.4,9.9,0.279,NA,NA,13.551,NA,"pull2",2021-12-21,"C.1"
"6191",4773,"Arl","7","S",2021-12-11 18:00:00,-0.9,-1.527,NA,NA,69.5,86.661,0.2,0,NA,253.9,4.6,8.4,11.1,-0.627,NA,NA,17.161,NA,"pull2",2021-12-21,"C.1"
"6192",4776,"Arl","7","S",2021-12-11 19:00:00,-2,-2.392,NA,NA,75.9,88.978,0.2,0,NA,247.8,3.4,6,9.5,-0.392,NA,NA,13.078,NA,"pull2",2021-12-21,"C.1"
"6193",4779,"Arl","7","S",2021-12-11 20:00:00,-2.6,-3.094,NA,NA,77.6,91.946,0,0,NA,243.1,4.6,7.2,9.5,-0.494,NA,NA,14.346,NA,"pull2",2021-12-21,"C.1"
"6194",4782,"Arl","7","S",2021-12-11 21:00:00,-3,-3.124,NA,NA,79.5,91.356,0.1,0,NA,239.9,4.7,7.1,8.9,-0.124,NA,NA,11.856,NA,"pull2",2021-12-21,"C.1"
"6195",4785,"Arl","7","S",2021-12-11 22:00:00,-3.6,-3.508,NA,NA,84.5,92.654,0.1,0,NA,233.8,3.4,5.2,8.1,0.0920000000000001,NA,NA,8.154,NA,"pull2",2021-12-21,"C.1"
"6196",4787,"Arl","7","S",2021-12-11 23:00:00,-3.9,-4.318,NA,NA,86.2,94.535,0.1,0,NA,223.5,2.8,5.2,8.7,-0.418,NA,NA,8.33499999999999,NA,"pull2",2021-12-21,"C.1"
"6197",4790,"Arl","7","S",2021-12-12 00:00:00,-4,-4.499,NA,NA,88,94.934,0.1,0,NA,221.3,2.5,4.4,8.1,-0.499,NA,NA,6.934,NA,"pull2",2021-12-21,"C.1"
"6198",4794,"Arl","7","S",2021-12-12 01:00:00,-4.1,-4.59,NA,NA,90.3,96.156,0.1,0,NA,219.4,2.2,3.8,9.9,-0.49,NA,NA,5.85600000000001,NA,"pull2",2021-12-21,"C.1"
"6199",4795,"Arl","7","S",2021-12-12 02:00:00,-4,-4.621,NA,NA,86.8,96.709,0.1,0,NA,227.9,0.5,3.2,8,-0.621,NA,NA,9.90900000000001,NA,"pull2",2021-12-21,"C.1"
"6200",4798,"Arl","7","S",2021-12-12 03:00:00,-4,-6.136,NA,NA,86.6,97.852,0,0,NA,210.5,2.5,3.8,10.7,-2.136,NA,NA,11.252,NA,"pull2",2021-12-21,"C.1"
"6201",4801,"Arl","7","S",2021-12-12 04:00:00,-4.3,-4.499,NA,NA,86.7,96.58,0,0,NA,205.5,1.8,3.8,10.6,-0.199,NA,NA,9.88,NA,"pull2",2021-12-21,"C.1"
"6202",4806,"Arl","7","S",2021-12-12 05:00:00,-4.1,-5.388,NA,NA,84.9,95.977,0,0,NA,201.6,2.3,4.1,9.8,-1.288,NA,NA,11.077,NA,"pull2",2021-12-21,"C.1"
"6203",4807,"Arl","7","S",2021-12-12 06:00:00,-4,-4.53,NA,NA,83.7,95.562,0,0,NA,205,2.6,3.8,8.4,-0.53,NA,NA,11.862,NA,"pull2",2021-12-21,"C.1"
"6204",4810,"Arl","7","S",2021-12-12 07:00:00,-3.7,-4.621,NA,NA,82.1,94.687,0.4,0,NA,214.2,3.1,4.8,10.2,-0.921,NA,NA,12.587,NA,"pull2",2021-12-21,"C.1"
"6205",4814,"Arl","7","S",2021-12-12 08:00:00,-2.7,-3.926,NA,NA,77.8,94.215,60.6,0,NA,209.2,4.4,6.5,9.7,-1.226,NA,NA,16.415,NA,"pull2",2021-12-21,"C.1"
"6206",4818,"Arl","7","S",2021-12-12 09:00:00,-1.2,-2.83,NA,NA,71.9,92.355,419,0,NA,214.9,4.7,7,10.1,-1.63,NA,NA,20.455,NA,"pull2",2021-12-21,"C.1"
"6207",4819,"Arl","7","S",2021-12-12 10:00:00,0.9,-0.367,NA,NA,65.7,87.277,844.3,0,NA,208.3,4.5,7,10.7,-1.267,NA,NA,21.577,NA,"pull2",2021-12-21,"C.1"
"6208",4822,"Arl","7","S",2021-12-12 11:00:00,2.8,2.717,NA,NA,58.3,75.456,1149.2,0,NA,218.3,5.6,9.2,10.9,-0.0829999999999997,NA,NA,17.156,NA,"pull2",2021-12-21,"C.1"
"6209",4825,"Arl","7","S",2021-12-12 12:00:00,4.1,4.999,NA,NA,54.4,64.626,1293.8,0,NA,220.1,6.8,10.2,10.4,0.899,NA,NA,10.226,NA,"pull2",2021-12-21,"C.1"
"6210",4829,"Arl","7","S",2021-12-12 13:00:00,5.3,6.788,NA,NA,52.2,60.254,1279,0,NA,226.5,6.6,10.1,10.1,1.488,NA,NA,8.05399999999999,NA,"pull2",2021-12-21,"C.1"
"6211",4833,"Arl","7","S",2021-12-12 14:00:00,5.6,7.87,NA,NA,52.7,57.121,845.6,0,NA,228.7,6,9.8,9.4,2.27,NA,NA,4.421,NA,"pull2",2021-12-21,"C.1"
"6212",4834,"Arl","7","S",2021-12-12 15:00:00,5.7,6.509,NA,NA,52.8,62.576,691.6,0,NA,227.2,5.8,9.8,10.1,0.809,NA,NA,9.776,NA,"pull2",2021-12-21,"C.1"
"6213",4838,"Arl","7","S",2021-12-12 16:00:00,4.2,5.411,NA,NA,59.5,66.144,215.7,0,NA,212.2,3.9,7.2,9.3,1.211,NA,NA,6.64400000000001,NA,"pull2",2021-12-21,"C.1"
"6214",4841,"Arl","7","S",2021-12-12 17:00:00,2.2,2.61,NA,NA,68.5,75.433,18.2,0,NA,204.5,2.3,4.7,9.3,0.41,NA,NA,6.93300000000001,NA,"pull2",2021-12-21,"C.1"
"6215",4843,"Arl","7","S",2021-12-12 18:00:00,2,0.079,NA,NA,69.7,87.036,0.3,0,NA,196.6,2.7,4.1,7.5,-1.921,NA,NA,17.336,NA,"pull2",2021-12-21,"C.1"
"6216",4846,"Arl","7","S",2021-12-12 19:00:00,2.2,0.301,NA,NA,67.8,85.649,0.2,0,NA,199.8,3.4,5.5,7.7,-1.899,NA,NA,17.849,NA,"pull2",2021-12-21,"C.1"
"6217",4849,"Arl","7","S",2021-12-12 20:00:00,2.7,1.153,NA,NA,64.7,83.296,0.1,0,NA,195.7,4.3,7,8.1,-1.547,NA,NA,18.596,NA,"pull2",2021-12-21,"C.1"
"6218",4854,"Arl","7","S",2021-12-12 21:00:00,2.7,1.805,NA,NA,66,80.039,0.2,0,NA,199.3,4.4,6.3,9.3,-0.895,NA,NA,14.039,NA,"pull2",2021-12-21,"C.1"
"6219",4855,"Arl","7","S",2021-12-12 22:00:00,2.9,1.859,NA,NA,65.9,80.523,0.2,0,NA,197.2,4.6,7,9.1,-1.041,NA,NA,14.623,NA,"pull2",2021-12-21,"C.1"
"6220",4859,"Arl","7","S",2021-12-12 23:00:00,3,2.021,NA,NA,63.8,79.877,0.1,0,NA,204.1,4.3,7,10.5,-0.979,NA,NA,16.077,NA,"pull2",2021-12-21,"C.1"
"6221",4862,"Arl","7","S",2021-12-13 00:00:00,2.4,1.67,NA,NA,65.3,79.272,0.5,0,NA,193.9,3.5,6.2,8.8,-0.73,NA,NA,13.972,NA,"pull2",2021-12-21,"C.1"
"6222",4866,"Arl","7","S",2021-12-13 01:00:00,2,1.153,NA,NA,66.2,81.301,0.5,0,NA,194.7,3.2,6.2,9.8,-0.847,NA,NA,15.101,NA,"pull2",2021-12-21,"C.1"
"6223",4869,"Arl","7","S",2021-12-13 02:00:00,1.7,0.163,NA,NA,65.3,83.395,0.4,0,NA,207.1,3.4,5.5,10.4,-1.537,NA,NA,18.095,NA,"pull2",2021-12-21,"C.1"
"6224",4871,"Arl","7","S",2021-12-13 03:00:00,1.4,0.163,NA,NA,65.5,82.212,0.4,0,NA,219.7,3.2,5.3,9,-1.237,NA,NA,16.712,NA,"pull2",2021-12-21,"C.1"
"6225",4873,"Arl","7","S",2021-12-13 04:00:00,0.7,-0.563,NA,NA,68.8,84.728,0.3,0,NA,220.8,2.3,4.5,8.7,-1.263,NA,NA,15.928,NA,"pull2",2021-12-21,"C.1"
"6226",4878,"Arl","7","S",2021-12-13 05:00:00,0,-1.584,NA,NA,71.5,88.641,0.3,0,NA,219.8,1.7,3.5,8.1,-1.584,NA,NA,17.141,NA,"pull2",2021-12-21,"C.1"
"6227",4881,"Arl","7","S",2021-12-13 06:00:00,-0.7,-2.305,NA,NA,74.9,92.689,0.3,0,NA,222.7,1.4,3.4,40.2,-1.605,NA,NA,17.789,NA,"pull2",2021-12-21,"C.1"
"6228",4882,"Arl","7","S",2021-12-13 07:00:00,-1.3,-3.836,NA,NA,76.5,94.62,0.7,0,NA,198.9,1.3,2.9,7.9,-2.536,NA,NA,18.12,NA,"pull2",2021-12-21,"C.1"
"6229",4887,"Arl","7","S",2021-12-13 08:00:00,-1.3,-4.348,NA,NA,76.8,96.131,54.1,0,NA,192.2,1.6,3.4,17.2,-3.048,NA,NA,19.331,NA,"pull2",2021-12-21,"C.1"
"6230",4890,"Arl","7","S",2021-12-13 09:00:00,1,-3.183,NA,NA,68.8,96.742,416.3,0,NA,235.1,2.1,4.4,10.6,-4.183,NA,NA,27.942,NA,"pull2",2021-12-21,"C.1"
"6231",4891,"Arl","7","S",2021-12-13 10:00:00,3.5,1.588,NA,NA,60.7,87.613,857.3,0,NA,231.9,2.5,4,12.4,-1.912,NA,NA,26.913,NA,"pull2",2021-12-21,"C.1"
"6232",4896,"Arl","7","S",2021-12-13 11:00:00,5.2,6.179,NA,NA,54.5,64.95,1174.1,0,NA,255.7,3,5.3,15.9,0.979,NA,NA,10.45,NA,"pull2",2021-12-21,"C.1"
"6233",4897,"Arl","7","S",2021-12-13 12:00:00,6.3,9.829,NA,NA,50.8,50.677,1277.1,0,NA,248.7,2.8,4.4,13.2,3.529,NA,NA,-0.122999999999998,NA,"pull2",2021-12-21,"C.1"
"6234",4902,"Arl","7","S",2021-12-13 13:00:00,7.4,12.534,NA,NA,48.6,45.87,1182.7,0,NA,257.3,2,3.8,18.4,5.134,NA,NA,-2.73,NA,"pull2",2021-12-21,"C.1"
"6235",4905,"Arl","7","S",2021-12-13 14:00:00,8.4,16.415,NA,NA,45.5,42.688,1131.7,0,NA,277.7,1.5,3,25.6,8.015,NA,NA,-2.812,NA,"pull2",2021-12-21,"C.1"
"6236",4907,"Arl","7","S",2021-12-13 15:00:00,9,18.794,NA,NA,46.6,36.275,757.9,0,NA,237.1,1.1,2.5,14.1,9.794,NA,NA,-10.325,NA,"pull2",2021-12-21,"C.1"
